content,score
sangat bermanfaat,5
"aplikasi ini sangat bagus, dapat membuat kita pintar di bahasa yang kita mau. serta melatih kefokusan, keingatan, kehafalan, dan kepintaran",5
sangat baik dan mudah di pahami,5
baguss💓💓,5
"seru banget belajar bahasa di duolingo, lopyu eheheh",5
karna duolingo bantu saya menghafalkan bahasa inggris,5
sangat bagus...,5
sangat seru dan menarik,5
keren,5
bagus,4
"belajarnya seru sih, tapi bayak unsur Pelanginya , dr awalnya cuma buat belajar lama2 buat ngajarin kita untuk ngikutin kaum pelangi. setidaknya kita bisa memilah mana yg baik dan mana yang harus dibuang, aku beri bintang 3 karna belajarnya lumayan lah",3
keren,5
Aplikasi yang menarik,5
lucu dan membantu!,5
seru bisa belajar dan bermain bermanfaat untuk belajar bahasa,5
makasih ya devoloper semoga apk ini terus berkembang aku makin semangat ni belajar nya😭 thank you so much,5
bagus,5
"Useful application for learning vocabulary, my sister learned to use this application, she immediately understood the meaning of vocabulary. 😁😃",5
bagus banget,4
Saya sangat suka aplikasi ini karena saya fans sepak bola dan setiap menonoton siaran sepak bola pasti berbahasa yang sedang saya pelajari,5
Kalo ada fitur telanjang gw kasih bintang 5,4
Aplikasinya bagus jadi aku kasih bintang 5,5
sangat menyenangkan,5
"Bagus, tapi aplikasi ini pendukung LGBT, bisa berpengaruh buruk untuk anak-anak di bawah umur!!",1
asik banget bisa belajar sama bermain,5
baguss saya suka belajar bahasa Inggris,5
sumpah seru banget kalian harus coba ini juga siii and asalnya gw gatau bahasa inggris tapi sekarang jauh lebih meningkat contoh sugar with milk artinya gula dengan susu,5
aplikasi duolingo ini sangat bagus dan cocok untuk yang ingin belajar bahasa bahasa apa saja,5
menurut ku ya app ini tuh keren bgt nada setiap karakter nya mengucapkan kata atau kalimat itu ikonik bgt jadi mudah di inget apalagi aku dapet 3 hari hati tak terbatas. bikin semangat buat belajar,5
good luck,4
Duolingo buat aku jadi pintar dalam bahasa Inggris dan ujian bahasa Inggris ku dapat nilai sempurna 👍💯,5
sangat menyenangkan,5
berguna,5
duolingo sangat membantu dan memudahkan saya untuk belajar bahasa Mandarin,5
Aplikasi ini sangat sempurna 🤩🤩,5
"aku suka banget sama apk ini, but dia kadang suka ngelag dikit,trus kalo kita kepencet jawaban yang salah gabisa di ganti",4
aplikasi pembelajaran bahasa inggris yang sangat recomen buat pemula sangat memuaskan,5
bagus,5
SUKA BANGET APLIKASI NYA,5
sangat bagus kalok geratis semuanya,5
kenapa dalam aplikasi sy gak ada fitur bahasa Arab nyaa,1
"sangat seruu dan mudah,jadi cepat bisa belajar bahasa lainn 💅🏻💓",5
aku jadi pintar dalam bahasa Inggris terima kasih duolingo,5
"saya menjadi pintar berbahasa karena Duolingo,saya sangat berterimakasih",5
bikin pinter beberapa negara,5
bagus bnget!!,5
seru makin hari makin lancar bahasa inggris nya,5
cocok buat belajar bahasa,4
"suka, sangat membantu untuk belajar dan tidak membosankan",5
cocok untuk persiapan ke luar negeri gampang lagi beberapa pertanyaan,5
membantu banget,5
"Untuk aku yang pure belajar dari 0, ini membantu banget. Apknya mudah di pahami dan ga banyak iklan juga, terus praktek pengucapannya juga bagus banget berasa kayak lagi belajar di kelas. Selain itu ada fitur pengingatnya juga, jadi kalo lupa di ingatkan. keren bangettttt pokoknya, rekomended.",5
sangat bermanfaat aplikasi duolingo,5
aplikasinya keren main sambil belajar bahasa Inggris,5
Bagus banget streak ku sampai 200 lebih,5
baguss buatt belajar bahasa luarr,5
aplikasi yang sangat bermanfaat untuk belajar bahasa,5
bagus cocok buat yg mau belajar bahasa inggris,5
sangat membantu sekali ☺️❤️,5
sangat bagus,5
seru bgt aku suka kalimat ya mudah di pahami,5
bisa mengasah otak anak anak yang masih kecil buat belajar bahasa apapun,5
this app is very awesome,5
saya suka sekali,5
sngat suka bermain duo linggop,5
sangat bagus untuk kita yang tidak bisa belajar bahasa Inggris dan yang lain nya,4
aku suka aplikasi ini..,5
Sangat bagus.Saya bisa belajar berbagai hal,5
sangat seru untuk di mainkan,5
bagusss bangettt,5
"bikin aku semangat belajar bahasa asing,, seru,, emm apa lagi ya,,? kayanya itu aja deh,, makasih buat yang udah nyiptain aplikasi duolinggo 😇",5
aplikasi yg sangat membantu belajar bahasa asing,5
ini matematikanya agak susah,5
belajar dengan sangat menyenangkan,5
"bagus aku suka,",5
"gratis sangat practice, cuma kalau iklan yang porno tolong di protect karena ini media belajar anak-anak.",4
"fitur nya bagus. Untuk kalian yg ang baru mau mulai belajar bisa juga yaa, kek mau yang dasar dasar dulu pun juga bisa",5
selama belajar di Duolingo ini bisa mudahin aku belajar bahasa Inggris,5
"aku sukaa banget, belajar jadi lebih gampang dan seru, terimakasih yg udah bikin aplikasi ini, thank you",5
mantapppppp,5
seru bangat kaya main game jadi gak bosen🫶,5
keren nambah pinter aku,5
good,5
sangat bagus untuk belajar bahasa Inggris 🥰,5
aplikasi ini sangat baik untuk dipahami dan menambah kosakata baru bahasa inggris kita,5
"keren sekali saya belajar Dangan senang, karena ada pengingat nya🫶🏻🔥🔥",5
bagus,5
"menyenangkan, aku jadi bisa ingat semua di pelajari",5
"sangat baik untuk belajar bahasa, semoga gratis terus yah. jangan banyak minta bayar. gadaduit",5
game nya seru bgttt sumpah ketagihan,5
Sangat membantu dan menarik,5
BAGUS,5
it can help me to learn English thankyou duolingo,5
seru dan bebas iklan Sukak banget deh,5
yeah,5
"tidak ada penjelasan kata mana yang v1 v2 atau v3, bikin bingung kek tainya yang buat",3
"Aplikasi yang disarankan untuk mereka yang ingin belajar bahasa luar negeri, sangat direkomendasikan",5
sangat bermanfaat untuk yang ingin mulai belajar bahasa inggris,5
menggangu dan sama ga keliatan tulisan nya,2
sangat bagus untuk permula yang tidak tau bahasa Inggris,5
ini sangatt kerenn,5
seru untuk di pelajarii,5
kata gw ini lumayan seru sih,5
aku suka banget sama aplikasi duolingo karena duolingo punya masa keren aku belajar bahasa inggris,5
membantu banget,5
sangat bagus jadinya aku bisa bahasa inggris🥰🥰🥰🥰,5
great baby,4
sukaaaaa bangetttt plisss,5
seru sekali,5
Aplikasi yang sangat membantu,5
beljar dulu klo smpe bisa d ksih bintng lg,3
"bisa membuat ku belajar bahasa Inggris dengan sangat baik dan hebat🥳,dan aku bisa memanfaatkan waktu yang banyak dengan duolingo 😇😚, dan di duolingo bisa punya teman yang banyak 😊🤓karena itu aku beri bintang lima 5",5
amazing,5
"seru,bisa belajar bahasa inggris",5
mantap,5
aku jadi tau kata kata bahasa Inggris yang belum aku tau seru banget,5
saya suka sekali,5
sangat membantu untuk yang menghafal kata kata bahasa Inggris,5
aku mendapatkan 9streak!,4
bagusss banget menurut ngebantu banget tapi minusnya kadang banyak iklannya But okay banget buat belajar di duolingo,4
hebat aku senang bisa belajar dengan duolingo,5
sangat menarik untuk belajar bahasa,5
bagus,5
From beginner to expert,5
"bagusss banget ga ada iklan, dan bermanfaat untuk orang yang mau belajar bahasa",5
Bagus sangat membantu saya dalam belajar bahasa yang di inginkan.konsepnya juga menyenangkan seperti bermain game asik.,5
belajar bahasa dengan cara yang menarik,5
mantap sikecil suka belajar bahasa Inggris disini,5
manteppp mending donload lo padaaaa,5
"Mantap perfect, buat belajar sehari hari, dan nggak bosen juga, malah seru",5
Thanks for lesseon,4
Bagus,5
mudah di pelajari untuk yang baru belajar,5
saya suka dengan pelajaran yang aktif dan menguji keterampilan dengan baik,5
sangat bagus,5
sangat bagus aplikasi ini bisa menambahkan manfaat dan seru👍👍★100000000,5
gamenya kebanyakan iklan kalau sesudah selesai pembelajaran,4
membantu sekali sedikit sedikit paham,5
sangat bagus 💯 saya suka jadi saya sudah bisa bahasa inggris ini Thank you very much because I can speak any language for you for Roger Ilaurado Jr.,5
asik dan senang belajar,5
saya jadi mendapatkan nilai bagus di ujian saya terimakasih Duolingo,5
aplikasinya sangat membantu saya untuk belajar bahasa inggris,5
"seru bangeeeeetttt, belajar bahasa Inggris jadi ga ngebosenin",5
"bagus,seru,gak bikin bosen,tambah bnyak ilmu",5
praktis dan menyenangkan,5
sangat bagus dan bisa belajar sambil bermain!,5
sangat memuaskan,5
bagus banget bisa lancar bahasa Inggris dalam waktu yg singkat,5
kamu telah membantu aku,5
"pengalaman terbaik untuk belajar bahasa, tanpa kendala dan dimanapun!",5
sangat mengagumkan aku bisa belajar bahasa dengan sangat mudah dan menyenangkan,5
aplikasi nya seru😁,5
Aku suka belajar bersama Duo !,5
aku jadi bisa belajar bahasa,5
𝑏𝑖𝑠𝑎 𝑛𝑖ℎ 𝑏𝑢𝑎𝑡 𝑘𝑎𝑚𝑢 𝑘𝑎𝑙𝑎𝑢 𝑘𝑒𝑙𝑢𝑎𝑟 𝑛𝑒𝑔𝑎𝑟𝑎 𝑙𝑎𝑛𝑔𝑠𝑢𝑛𝑔 𝑠𝑢𝑑𝑎ℎ 𝑏𝑖sa🤗,5
salah pun kadang di benerin tapi kadang ya salah bagus cuyy,4
aku kasih bintang lima karena sebagus dan sekeren ini aplikasinya 😍,5
sangat bermanfaat,5
belajar disini seru dan menyenangkan sehingga membuat kita ingin belajar setiap hari. the best🤓,5
bagus,5
"aplikasi ini sangat membantuku memahami lebih banyak kosakata dalam berbahasa Inggris,saya sangat menyukai aplikasi ini.",5
bagus buta saya ini gemnya bagus,5
ADD CHAT Feature PLEASE,3
saya berhasil menguasai bahasa karna ini,5
bagus sekali pelis kalian harus cuba dih ini,5
luar biasa,5
"mantap, luarbiasa",5
game yg bagus dan keren aku suka aku senang belajar,5
"seru banget, benar-benar membantu dan bisa meningkatkan kualitas pendidikan. tapi minus ada di pertanyaan, rata-rata sama terus, dan itu bikin sedikit bosen. tapi gapapa, aku tetep suka kok! >____<",5
good job,5
nungguin level selanjutnya loading lamaa bgttttttt,3
sangat bagus untuk belajar bahasa Inggris,5
sangat bermanfaat sekali!!!!,5
good,5
sangat bagus sekali ketika ingin belajar bahasa Inggris dan lain lain,5
bagus bgt tapi agak susah bikin profil nya,5
"""i'am good at english because of it.""",5
"aku suka aplikasi ini ,bantu banget buat aku yang baru belajar",5
"bagus, tapi ada suatu chat yg aku ga setuju",5
I give 4 stars because why? there is no Thai language here. I need Thai language lessons,4
bagus banget,5
oke,5
memuaskan banget sih belajar disini,5
It's helpfull. This app is amazing,5
bagus kayak serasa lagi main geme,5
sangat bagus,4
bro aplikasi bagus euy buat latihan bahasa Jerman aku siapa tahu masuk militer di sana,5
"Seru banget, jadi mau ningkatin ke yg max, pdhl baru coba yg trialnya.. semoga aku bisa menguasai Bahasa Inggris dengan baik, abis itu mau upgrade skill ke bahasa lainnya.. Arab dan Korea maybe..",5
sangat baik,5
Aplikasi yang luar biasa bermanfaat. semoga dengan ini generasi muda indonesia dapat yang sebaik-baiknya...,5
sangat sempurna buat belajar bahasa inggis untuk pemula.semoga kedepannya makin baik lagi dan banyak yg belajar di sini,5
"Dari semua aplikasi belajar bahasa inggris, menurutku duolingo adalah aplikasi yang terbaik buat belajar tanpa rasa bosan. kenapa? karena setiap pelajar di buat menjadi game yang cukup menyenangkan sehingga tidak merasa bosan atau terbebani saat belajar disini. saya harap duolingo akan menjadi semakin berkembang dan lebih baik lagi!!!!🔥🔥🔥 btw suka bngt sama si burung maskot duolingo wkwkwk love you<3",5
good,5
"ya, aplikasi ini sangat membantu saya dan memudahkan semua orang untuk belajar bahasa asing, itulah alasan saya memberi rating / bintang 5⭐⭐⭐⭐⭐ 🤗",5
good,5
👍🏻,5
nice app,5
mantap,5
bagus sangat membantu,5
"aplikasi ini sangat bagusss untuk saya yang ingin bisa belajar bahasa Inggris, dan aplikasi ini tidak menyediakan kursus bahasa inggris saja tapi bahasa yang lainnya pun ada, gambar² yang lucu sangat efektif untuk lebih mudah mengingat saat belajar dan menyenangkan. dan disarankan kan untuk yang ingin bisa belajar bahasa inggris menggunakan apk ini sangat membantu dalam perkembangan bahasa inggris😍. tetapi terkendala karena sering iklan dan hatinya terbatas jadi belajar pun terkendala 🙏",5
nice aku jadi lancar berbahasa asing,5
sangat membantu dalam belajar online,5
sangat membantu saya dalam pembelajaran bahasa khusus seperti saya yang tidak bahasa Inggris,5
alhamdulillah sangat membantu saya memahami berbagai pelajaran. terimakasih Duolingo!! 🤩🤩,5
"It's really great, now I can learn any language easily and simply.",5
bagus dan sngat menyeramkan jika telat😰😰😰,5
membantu untuk public speaking,5
"Sumpah ini bagus banget, gabanyak Kata"" pokoknya mendukung banget buat belajar bahasa jepang, tentang jadi pelayan ataupun makan makanan ataupun minuman",5
luarbiasa,5
BAGUUUSSSS,5
aplikasi yang sangat menarik untuk di coba dan menyenangkan belajar di aplikasi ini,5
so good ini bgus banget karna dualingo aku jadi selalu dapet nilai seratus 💐 makasih dualingo,5
"dan menurut saya ini adalah iklan terbangsat dan sangat menggangu aktivitas karena iklannya sering muncul,,, tolong untuk user apk anda ini sangat menggangu",1
membantu banget buat belajar bahasa luarr😆😆👏🏻👏🏻,5
sangat mudah di mengerti👍👍👍👍👍,5
sangat membutuhkan buat anak remaja dan suatu saat nanti bakalan bisa,5
"bagus banget, menyenangkan",5
syuka lumayan buat ngasah otak IRT,5
keren,5
"aplikasi ini sangat membantu saya untuk belajar berbagai bahasa, pelajarannya asik dan menyenangkan, wajib download sih",5
membantu anak-anak,5
bagus buat belajar bahasa Inggris,4
good,5
Bagus banget,5
bagus dan sangat seru tpi banyak iklannya,4
bagusssss,4
sangat menyenangkan,5
"game nya bagus bgtt, bisa lebih banyak kenal kosakata b inggris",5
aplikasi nya baguss.. selalu ingetin buat belajar teruss.. jadi makin semangat,5
on may way to greatness,5
ini sangat membantu untuk saya aplikasi ini sangat bagus,5
aplikasi ini membuat saya bisa bahasa Inggris,5
sangat membantu 👍,5
bagus,5
aku bisa belajar 📚✏ bahasa Inggris gara² Duolingo aplikasi 📲 ini cocok banget tau buat belajar bahasa manapun!!!. jadi aku kasih rating 5 deh😁 Love you Duolingo ❤,5
iklan ga ngotak,1
sangan bagus dan sangat membantu,5
burungnya membuat semangat thank you,5
luar biasa,5
bagus.,5
bagus saya bisa berbelajar bahasa inggris,5
suka sekali jadi semangat belajarnya,5
membantu bangett,5
bagus sekali untuk anak anak karena seperti kursus mahal,5
"Aplikasi Belajar Bahasa Terbaik! Duolingo benar-benar aplikasi yang luar biasa untuk belajar bahasa! Desainnya menarik, metode belajarnya menyenangkan, dan sistem poin serta tantangan harian membuatku termotivasi untuk belajar setiap hari. Materinya disusun dengan baik, dimulai dari dasar hingga tingkat lanjut, cocok untuk pemula maupun yang ingin memperkuat kemampuan berbahasa. Fitur seperti ""Stories"" dan ""Speaking Practice",5
keren,5
apk nya bagus banget sumpah,4
bagus,5
good buat belajar bahasa,5
mantap,5
aplikasi ini keren! saya bisa belajar kosakata Inggris dan kosakata lainnya,5
"aplikasinya bagus, cuman dia online baru boleh main gak boleh offline.",1
luar biasa,5
trimakasih Duolingo sekarang saya mulai bisa belajar bahasa Inggris dengan lumayan lancar thanks you,5
apk nya bagusss tpi sayang ad unsur Lgbt,3
Menurut ku membantu untuk pelajaran sekolah sd,5
bagus buat saya belum bisa bahasa inggris,5
bagus banget dan bisa buat aku terhibur trus bisa ngomong b Inggris dengan jls🤗,5
saya jadi bisa memahami bahasa inggris... walaupun tidak semua,5
seru sih tapi kurang sulit,4
aplikasi yang sangat membantu jika ingin belajar bahasa Inggris,5
asik buat belajar,5
membantu,5
"seru,bisa belajar dengan santai,tetapi buat pintar",5
keren,5
baikkkk 😘😘😘,5
baguss untukk belajarr,4
membantu sy untuk belajar bahasa,5
Cara belajar yg menyenangkan dan tidak ada iklan sangat sempurna 👍👍,4
Bagus banget buat balajar bahasa bahasa disini🤩,5
good lebih paham belajar nya dan banyak juga pilihan bahasa nya👍👍,1
"sangat seru dan bisa menambah semangat belajar seseorang, memiliki berbagai macam pilihan bahasa, bisa memilih waktu belajar, sesuai untuk belajar, dan memiliki pilihan tingkat soal dari yang mudah, sedang, sampai sulit",5
Das its good,5
sangat bagus,5
aku jadi bisa bahasa Inggris,5
Duolingo bantu aku jadi pintar bahasa Inggris makasih ya Duolingo telah belajar dengan aku,5
Bantu memudahkan pelajaran 100 adalah nilai yang bagus bagi bahasa inggris kalo ga download parahh nilai jeblok ga ada yang 100 bisa belajar MTK pula 😎,5
ini bagussss sekali aku juga menyukai nya,5
aplikasi belajar terbaik 👍💯,5
bagus👨‍🎓,5
belajar bahasa nya sangat seruu,5
bagus bangeettt bagi pemula wajib pakai apk DUOLINGO☺️,5
aku suka bgt sama duolingo karena bisa belajar dan seru gitu jadi makin semangat belajar kalo di duolingo,5
enak banget jadi tau deh bahasa Inggris,5
saya akan terus belajar,5
game ini seru biar aku hafal bahasa inggris,4
seru saya bisa belajar inggris,5
Duolingo ini buat saya mengerti tentang bahasa 😀,5
Good i like it,5
game ini cocok untuk anak anak,5
"aplikasi ini sangat bagus,karna saya bisa belajar banyak bahasa, terimakasih 👍👍👌😁😁😁",5
apk ini bagus banget buat pemula tapi saya kecewa karena iklannya,5
sangat luar biasa bisa menambah wawasan,5
"sangat menarik dan bermanfaat,, belajar sesuai tahapannya, saya jadi senang belajar bahasa Inggris",5
i like't,5
ini apk jujur bagus banget,4
"a like Duolingo, and thanks doulingo",5
bagus untuk anak kayak aku,5
bisa melatih belajar bahasa Inggris,5
aplikasinya mendukung banget buat belajar bhsa inggris....,5
sangat amat bagusss,5
Baguss bgttt pliss,5
"saya sangat puas, saya senang belajar di duolingo karena menyenangkan seperti bermain. namun, ada kelebihan ada kekurangan",4
Duolingo bisa belajar ya,5
because you support lgbt,1
Terima kasih.. karena membuat orang menjadi lebih cerdas makasih ya untuk development 😄😁,5
oke untuk belajar,5
I just started to use duolingo again. I must say it is fun to learn language through this app. it makes it easier to learn languages,5
seruuu bangettt bikin kita lebih tau tentang bahasaa² yg ada di duo lingo,5
bgus bgt bisa melatih kita bahasa apa saja saat ada waktu luang 😋✌️,5
aku ingin pas di update bisa belajar bahasa lain dengan menggunakan bahasa daerah ku tidak harus blajar bahasa Inggris dulu,2
seru banget pelajarannya jadinya pas aku lagi ujian aku dapet nilai 100 makasih ya Duolingo,5
bang bagus,5
ini sangat bagus untuk belajar bahasa asing,5
"Seru, Aku Jadi Bisa Dan mengerti beberapa bahasa",4
sangat berguna untuk seorang yang baru belajar berbahasa Inggris dan lain lain,5
sangat bagus,5
"lumayan baguss ini aplikasi, dapat belajar berbagai bahasa,",5
"enak belajar nya,tapi kurang nya itu,pas kita lagi ga bisa memakai duolingo selama beberapa hari itu di tegur,dan opini saya,saya kurang suka",4
bagus bgt banyak banget bahasa nya tapi... kadang kadang salah terus hati nya 0 bagus banget aplikasi nya!😚😚😚,5
"bagus ihh,ngebantu bgtt",5
Sangat membantu dalam belajar berbagai bahasa Trimakasih Duolingo,5
aplikasi belajar bahasa paling mutakhir.,5
"sangat membantu tetapi isinya banyak yg mengandung tentang lgbt, sayang banget",1
sangat bagus,5
Alhamdulillah sangat membantu banyak kalangan apalagi para pelajar yang membutuhkan bimbingan di rumah saya sangat suka,5
bagus buat pemula belajar segala bahasa yang berasal dari seluruh dunia,5
i like this application,5
mantap bagus good job aplikasinya,5
suka tetapi ada lumayan banyak iklan,4
aplikasi ini bangus banget terus juga kaya ngasih semangat gitu pokoknya suka,5
baru di coba,4
sangat seru,5
membuat saya pintar,5
BAGUSS,5
menarik,5
cepat di mengerti Dan cepat bisa bahasa,5
keren bgt aplikasinya😍,5
